Rank,Team,Goals Conceded per Match,Total Goals Conceded,Matches,Country
1,Arsenal,0.8,29.0,38,ENG
2,Manchester City,0.9,34.0,38,ENG
3,Liverpool,1.1,41.0,38,ENG
4,Everton,1.3,51.0,38,ENG
5,Manchester United,1.5,58.0,38,ENG
5,Crystal Palace,1.5,58.0,38,ENG
7,Tottenham Hotspur,1.6,61.0,38,ENG
7,Fulham,1.6,61.0,38,ENG
7,Aston Villa,1.6,61.0,38,ENG
10,Newcastle United,1.6,62.0,38,ENG
10,Brighton & Hove Albion,1.6,62.0,38,ENG
12,Chelsea,1.7,63.0,38,ENG
13,Wolverhampton Wanderers,1.7,65.0,38,ENG
13,Brentford,1.7,65.0,38,ENG
15,Nottingham Forest,1.8,67.0,38,ENG
15,AFC Bournemouth,1.8,67.0,38,ENG
17,West Ham United,1.9,74.0,38,ENG
18,Burnley,2.1,78.0,38,ENG
19,Luton Town,2.2,85.0,38,ENG
20,Sheffield United,2.7,104.0,38,ENG
