Rank,Team,Shots on Target per Match,Shot Conversion Rate (%),Matches,Country
1,Manchester City,7.3,13.9,38,ENG
2,Liverpool,7.3,10.9,38,ENG
3,Arsenal,6.0,13.9,38,ENG
4,Chelsea,5.7,14.0,38,ENG
5,Tottenham Hotspur,5.7,12.7,38,ENG
6,Newcastle United,5.6,15.4,38,ENG
7,Brighton & Hove Albion,5.5,9.8,38,ENG
8,Manchester United,5.1,10.4,38,ENG
9,Aston Villa,5.0,14.8,38,ENG
10,AFC Bournemouth,4.9,10.0,38,ENG
11,Fulham,4.7,11.0,38,ENG
12,Brentford,4.5,11.8,38,ENG
13,Crystal Palace,4.4,12.5,38,ENG
14,Everton,4.3,7.9,38,ENG
15,Wolverhampton Wanderers,4.2,11.7,38,ENG
16,West Ham United,4.1,13.3,38,ENG
17,Nottingham Forest,3.9,10.9,38,ENG
18,Luton Town,3.7,12.0,38,ENG
19,Burnley,3.7,9.5,38,ENG
20,Sheffield United,3.4,9.6,38,ENG
